"id","original_text","text","date","user","sentiment_score","polarity","intensity","dominant_emotion","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","is_sarcasm","sarcasm_confidence","topic","topic_probability"
1,"i agree entirely won't have to wait too much longer!","i agree entirely won't have to wait too much longer!",2009-04-06,"KRYSTEA",0,"Neutral","Neutral","Anticipation",0,1,0,0,0,0,0,0,FALSE,0,4,0.25
2,"i can't sleep it's too windy and scary out","i can't sleep it's too windy and scary out",2009-04-07,"Katernater",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,12.5,2,0.222222222222222
3,"oh alright","oh alright",2009-04-06,"madison_mae",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,2,0.215686274509804
4,"most quality hosts that offer reseller accounts can do that for you","most quality hosts that offer reseller accounts can do that for you",2009-04-06,"webhostingone",0,"Neutral","Neutral","Trust",0,0,0,0,0,0,0,1,FALSE,0,2,0.240740740740741
5,"goooooood morning chubbx how are you today?","goooooood morning chubbx how are you today?",2009-04-06,"froggie775",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,3,0.226415094339623
6,"and watching leon","and watching leon",2009-04-06,"sl0wburn",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,5,0.215686274509804
7,"haha that makes my online fart","haha that makes my online fart",2009-04-07,"knowsnotmuch",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,12.5,5,0.207547169811321
8,"twilight didn't come yesterday fingers crossed for today","twilight didn't come yesterday fingers crossed for today",2009-04-06,"JRDM",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,3,0.210526315789474
9,"uploading photos first before leaving","uploading photos first before leaving",2009-04-06,"piajimenez",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,3,0.222222222222222
10,"well done mate good post too!","well done mate good post too!",2009-04-07,"kattekrab",1,"Positive","Mild Positive","Trust",0,1,0,0,1,0,1,2,FALSE,0,4,0.218181818181818
11,"good night world! i see you tomorrow!","good night world! i see you tomorrow!",2009-04-07,"projectx58",1,"Positive","Mild Positive","Anticipation",0,2,0,0,1,0,1,1,FALSE,0,3,0.236363636363636
12,"happy birthday to my little girl jasmine! she turns three years old today throwing her a mini b day party tomorrow with just us","happy birthday to my little girl jasmine! she turns three years old today throwing her a mini b day party tomorrow with just us",2009-04-06,"lady_bo",1,"Positive","Mild Positive","Anticipation",0,3,0,0,2,0,1,1,FALSE,0,2,0.227272727272727
13,"new video card is doa","new video card is doa",2009-04-06,"jasminpatry",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,5,0.207547169811321
14,"gross i have a pimple","gross i have a pimple",2009-04-06,"peaceandlove7",0,"Neutral","Neutral","Disgust",0,0,2,0,0,0,0,0,FALSE,0,5,0.215686274509804
15,"i hate converting movies just to put em on my itouch","i hate converting movies just to put em on my itouch",2009-04-06,"Huddy1124",-1,"Negative","Mild Negative","Anger",1,0,1,1,0,1,0,0,FALSE,0,4,0.236363636363636
16,"if only you were working in the melbourne victoria police department or the melbourne city cabs","if only you were working in the melbourne victoria police department or the melbourne city cabs",2009-04-07,"valtan29",0,"Neutral","Neutral","Fear",0,0,0,1,0,0,0,1,FALSE,12.5,3,0.214285714285714
17,"is sooo proud with her bro! huhu he's so talentfull i wish i could do best like him","is sooo proud with her bro! huhu he's so talentfull i wish i could do best like him",2009-04-07,"anjaniput3ri",1.5,"Positive","Mild Positive","Anticipation",0,1,0,0,1,0,0,1,FALSE,25,5,0.210526315789474
