"id","original_text","text","date","user","sentiment_score","polarity","intensity","dominant_emotion","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","is_sarcasm","sarcasm_confidence","fake_review_flag","credibility_score","credibility_band","topic","topic_probability"
1,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D","awww that's a bummer you shoulda got david carr of third day to do it d",2026-01-01,"_TheSpecialOne_",0,"Neutral","Neutral","Anger",1,0,1,0,0,0,0,0,FALSE,0,"Genuine",1,"High",2,0.339080459770115
2,"is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!","is upset that he can't update his facebook by texting it and might cry as a result school today also blah!",2026-01-02,"scotthamilton",-1,"Negative","Mild Negative","Sadness",1,1,0,0,0,2,0,1,FALSE,0,"Genuine",1,"High",1,0.365591397849462
3,"@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds","i dived many times for the ball managed to save the rest go out of bounds",2026-01-03,"mattycus",0,"Neutral","Neutral","Joy",0,0,0,0,1,0,0,1,FALSE,0,"Genuine",1,"High",1,0.351190476190476
4,"my whole body feels itchy and like its on fire","my whole body feels itchy and like its on fire",2026-01-04,"ElleCTF",0,"Neutral","Neutral","Fear",0,0,0,1,0,0,0,0,FALSE,0,"Genuine",1,"High",1,0.369047619047619
5,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there.","no it's not behaving at all i'm mad why am i here? because i can't see you all over there",2026-01-05,"Karoli",0,"Neutral","Neutral","Anger",1,0,1,1,0,1,0,0,FALSE,12.5,"Genuine",1,"High",1,0.364197530864198
6,"@Kwesidei not the whole crew","not the whole crew",2026-01-06,"joy_wolf",0,"Neutral","Neutral","Trust",0,0,0,0,0,0,0,1,FALSE,0,"Genuine",1,"High",1,0.358974358974359
7,"Need a hug","need a hug",2026-01-07,"mybirch",0,"Neutral","Neutral","Joy",0,0,0,0,1,0,0,1,FALSE,0,"Genuine",1,"High",3,0.33974358974359
8,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?","hey long time no see! yes rains a bit only a bit lol i'm fine thanks how's you ?",2026-01-08,"coZZ",0,"Neutral","Neutral","Anticipation",0,2,0,0,0,0,0,0,FALSE,37.5,"Genuine",1,"High",2,0.381720430107527
9,"@Tatiana_K nope they didn't have it","nope they didn't have it",2026-01-09,"2Hood4Hollywood",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,"Genuine",1,"High",2,0.33974358974359
10,"@twittera que me muera ?","que me muera ?",2026-01-10,"mimismo",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,"Genuine",1,"High",1,0.34640522875817
11,"spring break in plain city... it's snowing","spring break in plain city it's snowing",2026-01-11,"erinx3leannexo",0,"Neutral","Neutral","Surprise",0,0,0,0,0,0,1,0,FALSE,0,"Genuine",1,"High",2,0.339393939393939
12,"I just re-pierced my ears","i just re pierced my ears",2026-01-12,"pardonlauren",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,"Genuine",1,"High",2,0.33974358974359
13,"@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .","i couldn't bear to watch it and i thought the ua loss was embarrassing",2026-01-13,"TLeC",0,"Neutral","Neutral","Fear",2,2,0,3,0,1,0,0,FALSE,0,"Genuine",0.75,"High",3,0.333333333333333
14,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore","it it counts idk why i did either you never talk to me anymore",2026-01-14,"robrobbierobert",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,12.5,"Genuine",0.75,"High",1,0.357575757575758
15,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.","i would've been the first but i didn't have a gun not really though zac snyder's just a doucheclown",2026-01-15,"bayofwolves",0,"Neutral","Neutral","Anger",1,0,0,1,0,0,0,0,FALSE,25,"Genuine",1,"High",3,0.35632183908046
16,"@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!","i wish i got to watch it with you!! i miss you and how was the premiere?!",2026-01-16,"HairByJess",0,"Neutral","Neutral","Anticipation",0,1,0,1,0,0,0,0,FALSE,25,"Fake",0.55,"Medium",1,0.375757575757576
17,"Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?","hollis' death scene will hurt me severely to watch on film wry is directors cut not out now?",2026-01-17,"lovesongwriter",1,"Positive","Mild Positive","Fear",2,2,1,3,0,2,1,0,FALSE,12.5,"Genuine",1,"High",2,0.350282485875706
18,"about to file taxes","about to file taxes",2026-01-18,"armotley",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,"Genuine",1,"High",3,0.33974358974359
19,"@LettyA ahh ive always wanted to see rent  love the soundtrack!!","ahh ive always wanted to see rent love the soundtrack!!",2026-01-19,"starkissed",1,"Positive","Mild Positive","Joy",0,0,0,0,1,0,0,0,TRUE,25,"Genuine",0.8,"High",3,0.362573099415205
20,"@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks?","oh dear were you drinking out of the forgotten table drinks?",2026-01-20,"gi_gi_bee",0,"Neutral","Neutral","Fear",0,0,0,1,0,1,0,0,FALSE,0,"Genuine",1,"High",1,0.357575757575758
21,"@alydesigns i was out most of the day so didn't get much done","i was out most of the day so didn't get much done",2026-01-21,"quanvu",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,"Genuine",1,"High",1,0.357575757575758
22,"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh*","one of my friend called me and asked to meet with her at mid valley today but i've no time sigh",2026-01-22,"swinspeedx",0,"Neutral","Neutral","Anticipation",0,1,0,0,1,0,0,1,FALSE,12.5,"Genuine",1,"High",2,0.411111111111111
23,"@angry_barista I baked you a cake but I ated it","i baked you a cake but i ated it",2026-01-23,"cooliodoc",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,12.5,"Genuine",1,"High",2,0.34640522875817
24,"this week is not going as i had hoped","this week is not going as i had hoped",2026-01-24,"viJILLante",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,FALSE,0,"Genuine",1,"High",1,0.371069182389937
25,"blagh class at 8 tomorrow","blagh class at tomorrow",2026-01-25,"Ljelli3166",0,"Neutral","Neutral","Anticipation",0,1,0,0,0,0,0,0,FALSE,0,"Genuine",1,"High",3,0.33974358974359
26,"I hate when I have to call and wake people up","i hate when i have to call and wake people up",2026-01-26,"ChicagoCubbie",-1,"Negative","Mild Negative","Anger",1,0,1,1,0,1,0,0,FALSE,0,"Genuine",1,"High",3,0.345679012345679
27,"Just going to cry myself to sleep after watching Marley and Me.","just going to cry myself to sleep after watching marley and me",2026-01-27,"KatieAngell",0,"Neutral","Neutral","Sadness",0,0,0,0,0,1,0,0,FALSE,0,"Genuine",1,"High",1,0.369047619047619
