"id","date","user","source","original_text","text","ground_truth","final_sentiment","sentiment_score","polarity","intensity","dominant_emotion","emotion_intensity","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","is_sarcasm","sarcasm_label","sarcasm_confidence"
1,2009-04-06,"KRYSTEA","Sentiment140","@ryanhopesudie I agree entirely. Won't have to wait too much longer! ","i agree entirely won't have to wait too much longer!","Positive","Positive",0,"Neutral","Neutral","Anticipation",1,0,1,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
2,2009-04-07,"Katernater","Sentiment140","I can't sleep.  It's too windy and scary out.","i can't sleep it's too windy and scary out","Negative","Negative",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",12.5
3,2009-04-06,"madison_mae","Sentiment140","@NLPride08 oh alright ","oh alright","Positive","Positive",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
4,2009-04-06,"webhostingone","Sentiment140","@rachelramsay most quality hosts that offer reseller accounts can do that for you ","most quality hosts that offer reseller accounts can do that for you","Positive","Positive",0,"Neutral","Neutral","Trust",1,0,0,0,0,0,0,0,1,FALSE,"Non-Sarcastic",0
5,2009-04-06,"froggie775","Sentiment140","@Chubbx Goooooood morning, Chubbx  how are you today?","goooooood morning chubbx how are you today?","Positive","Positive",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
6,2009-04-06,"sl0wburn","Sentiment140","and watching Leon.... ","and watching leon","Positive","Positive",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
7,2009-04-07,"knowsnotmuch","Sentiment140","@fartingpen @far1983 @dharshana @rampantheart @lavanyaj @sudhamshu @adapaavi @disobedientgirl haha that makes @fartingpen my online fart ","haha that makes my online fart","Positive","Positive",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",12.5
8,2009-04-06,"JRDM","Sentiment140","Twilight didn't come yesterday  fingers crossed for today","twilight didn't come yesterday fingers crossed for today","Negative","Negative",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
9,2009-04-06,"piajimenez","Sentiment140","Uploading photos first before leaving ","uploading photos first before leaving","Positive","Positive",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
10,2009-04-07,"kattekrab","Sentiment140","@piawaugh well done mate. good post too! ","well done mate good post too!","Positive","Positive",1,"Positive","Mild Positive","Trust",5,0,1,0,0,1,0,1,2,FALSE,"Non-Sarcastic",0
11,2009-04-07,"projectx58","Sentiment140","Good Night World! I see you tomorrow! ","good night world! i see you tomorrow!","Positive","Positive",1,"Positive","Mild Positive","Anticipation",5,0,2,0,0,1,0,1,1,FALSE,"Non-Sarcastic",0
12,2009-04-06,"lady_bo","Sentiment140","Happy Birthday to my little girl Jasmine! She turns three years old today. Throwing her a mini b day party tomorrow with just us. ","happy birthday to my little girl jasmine! she turns three years old today throwing her a mini b day party tomorrow with just us","Positive","Positive",1,"Positive","Mild Positive","Anticipation",7,0,3,0,0,2,0,1,1,FALSE,"Non-Sarcastic",0
13,2009-04-06,"jasminpatry","Sentiment140","New video card is DOA. ","new video card is doa","Negative","Negative",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",12.5
14,2009-04-06,"peaceandlove7","Sentiment140","gross i have a pimple ","gross i have a pimple","Negative","Negative",0,"Neutral","Neutral","Disgust",2,0,0,2,0,0,0,0,0,FALSE,"Non-Sarcastic",0
15,2009-04-06,"Huddy1124","Sentiment140","I hate converting movies just to put em on my itouch ","i hate converting movies just to put em on my itouch","Negative","Negative",-1,"Negative","Mild Negative","Anger",4,1,0,1,1,0,1,0,0,FALSE,"Non-Sarcastic",0
16,2009-04-07,"valtan29","Sentiment140","@grahamcracker  If only you were working in the Melbourne Victoria Police Department or the Melbourne City Cabs. ","if only you were working in the melbourne victoria police department or the melbourne city cabs","Negative","Negative",0,"Neutral","Neutral","Fear",2,0,0,0,1,0,0,0,1,FALSE,"Non-Sarcastic",12.5
18,2009-04-07,"anjaniput3ri","Sentiment140","is sooo proud with her bro! huhu.. he's so talentfull.. i wish i could do best like him.. ","is sooo proud with her bro! huhu he's so talentfull i wish i could do best like him","Negative","Negative",1.5,"Positive","Mild Positive","Anticipation",3,0,1,0,0,1,0,0,1,FALSE,"Non-Sarcastic",25
19,2009-04-06,"Cryyyystal","Sentiment140","My pinky toe has been broken for months. I should be concerned :| ","my pinky toe has been broken for months i should be concerned","Positive","Positive",-1,"Negative","Mild Negative","Fear",5,1,0,0,2,0,2,0,0,FALSE,"Non-Sarcastic",0
20,2009-04-06,"liswebnet","Sentiment140","...cause they're really high and fluffy on the inside  http://twitpic.com/2y487","cause they're really high and fluffy on the inside","Positive","Positive",0,"Neutral","Neutral","Neutral",0,0,0,0,0,0,0,0,0,FALSE,"Non-Sarcastic",0
